品牌,型号,类型,tags,上牌时间(年),里程数(万公里),价格(万)
奇瑞,E3 2015款 1.5L 手动智尚型,手动,|有VIN码||0次过户|,2016,9,1.86
福特,福克斯 2012款 两厢经典 1.8L 自动时尚型,自动,|0次过户|,2013,9,1.88
现代,格越 2013款 2.2T 7座四驱舒适版,自动,|有VIN码||新上架|,2014,12,8.38
奥迪,A6L 2017款 30 FSI 舒适型,自动,|有VIN码||新上架||0次过户|,2017,14,16.8
宝骏,310W 2017款 1.5L 手动舒适型 国V,手动,|有VIN码||新上架|,2018,6.5,2.46
保时捷,Macan 2014款 Macan 2.0T,自动,|有VIN码|,2015,5.9,18.88
别克,英朗 2010款 GT 1.6L 自动时尚版,自动,|有VIN码|,2011,11.7,1.88
宝骏,630 2013款 1.5 手动 超值版进取型,手动,|有VIN码|,2014,9,1.38
奇瑞,E3 2015款 1.5L 手动智尚型,手动,|有VIN码||0次过户|,2016,9,1.86
日产,颐达 2006款 1.6JS AT,自动,|有VIN码|,2006,16.3,1.18
哈弗,H8 2015款 2.0T 两驱舒适型,自动,|有VIN码||0次过户|,2017,5,5.48
东风风光,风光S560 2018款 1.8L CVT尊贵型,自动,|有VIN码||新上架|,2018,7,3.56
瑞驰新能源,EC35 2020款 EC35 II 长续航版41.86kWh,自动,|新上架||0次过户|,2020,6.8,3.58
哈弗,H5经典 2018款 经典版 2.0T 手动四驱尊贵型,变速箱,||检测报告||有VIN码||新上架|,2017,11.06,5.98
丰田,凯美瑞 2011款 200E 精英天窗版,自动,||检测报告||有VIN码||新上架|,2011,10.91,5.0
福特,锐界 2018款 EcoBoost 245 两驱豪锐型 7座 国V,自动,||检测报告||有VIN码||新上架|,2018,9.23,9.0
比亚迪,汉 2023款 DMi 冠军版 121KM 尊享型,自动,||检测报告||有VIN码||准新车||新上架||原厂质保|,2023,1.45,15.8
奔驰,GLA 2020款 GLA 200,自动,||检测报告||有VIN码||新上架|,2020,2.93,17.8
奥迪,A6L 2019款 45 TFSI 臻选致雅型,自动,||检测报告||有VIN码||新上架|,2020,6.93,26.88
日产,奇骏 2014款 2.0L CVT智领版 2WD,自动,||检测报告||有VIN码||新上架|,2015,7.99,8.0
奥迪,Q3 2022款 35 TFSI 时尚动感型,自动,||检测报告||有VIN码||准新车||新上架||原厂质保|,2022,2.52,17.98
奔驰,C级 2021款 C 260 L 运动星耀臻藏版,自动,||检测报告||有VIN码||新上架|,2021,7.10,22.88
奔驰,C级 2021款 C 260 L 运动星耀臻藏版,自动,||检测报告||有VIN码||新上架|,2020,2.70,23.58
奔驰,GLA 2017款 GLA 200 动感型,自动,||检测报告||有VIN码|,2018,4.97,12.38
奔驰,GLC 2020款 GLC 260 L 4MATIC 豪华型,自动,||检测报告||有VIN码||新上架|,2000,5.65,28.5
驭胜,S350 2016款 2.0T 自动四驱汽油豪华天窗版5座,自动,||检测报告||有VIN码|,2016,8.41,5.18
大众,途观 2013款 1.8TSI 自动两驱风尚版,自动,||检测报告||有VIN码|,2014,11.01,4.88
沃尔沃,XC60 2020款 T5 四驱智逸豪华版,自动,||检测报告||有VIN码|,2020,6.28,21.8
宝马,X3(进口) 2014款 xDrive28i 领先型,自动,||检测报告||有VIN码|,2015,19.95,14.5
宝马,4系 2017款 425i Gran Coupe 尊享型M运动套装,自动,||检测报告||有VIN码|,2018,6.83,18.8
北京汽车,北京X3 2020款 1.5T 手动荣耀版PLUS,手动,|有VIN码||0次过户||原厂质保|,2021,4.18,3.99
江汽集团,瑞风M5 2016款 2.0T 自动商务版汽油,自动,|有VIN码|,2016,9.6,4.88
长安,逸动XT 2016款 1.6L 手动俊酷型,手动,|有VIN码||新上架||0次过户|,2017,8.43,2.88
三菱,君阁 2008款 2.0L 手动挡经典型,手动,|有VIN码|,2009,13,0.98
斯柯达,明锐 2017款 1.6L 自动智行版,自动,|有VIN码||0次过户|,2017,8.3,4.87
宝马,3系 2017款 320Li M运动型,自动,|有VIN码||0次过户|,2017,8.1,11.88
马自达,3 昂克赛拉 2019款 云控版 三厢 1.5L 自动豪华型 国V,自动,|有VIN码||0次过户|,2020,5.4,6.98
Jeep,自由光 2016款 2.4L 领先版,自动,|有VIN码||0次过户|,2016,12,5.58
日产,逍客 2011款 2.0XV 雷 CVT 2WD,自动,|有VIN码||0次过户|,2011,14,3.45
大众,途观L 2019款 330TSI 自动两驱全景舒适版 国VI,自动,|有VIN码||0次过户|,2019,4.5,12.18
奇瑞,瑞虎 2012款 精英版 1.6L 手动豪华型DVVT,手动,|有VIN码||0次过户|,2013,14,0.98
马自达,阿特兹 2014款 2.0L 蓝天豪华版,自动,|有VIN码||0次过户|,2014,11.4,5.68
福特,福睿斯 2019款 改款 1.5L 自动悦享型 国VI,自动,|有VIN码||新上架||0次过户|,2019,6.6,4.48
北汽幻速,S2 2014款 1.5L 手动尊贵型,手动,|有VIN码|,2015,9.3,0.98
日产,骊威 2010款 劲悦版 1.6L 自动全能型,自动,|有VIN码||0次过户|,2011,11,2.78
现代,菲斯塔 2019款 280TGDi 运动版 国VI,自动,|有VIN码||新上架||0次过户|,2020,3.3,8.28
本田,凌派 2019款 180Turbo CVT豪华版 国V,自动,|有VIN码||0次过户|,2019,3.7,5.99
奇瑞,瑞虎7 2016款 1.5T 手动耀臻版,手动,|有VIN码||0次过户|,2017,5,3.99
奔腾,B70 2010款 2.0L 自动豪华型,自动,|有VIN码||新上架|,2011,12,1.38
金杯,海狮 2016款 2.0 手动 豪华型V19,手动,|有VIN码||0次过户|,2016,13,1.88
福田,风景 2012款 2.0 手动 经典型 长轴版,手动,|有VIN码|,2015,8,1.58
东风风光,风光330 2014款 1.3L手动实用型DK1307,手动,|有VIN码||新上架||0次过户|,2015,8,0.98
马自达,6 2015款 2.0L 自动经典型,自动,|有VIN码||0次过户|,2015,9,3.28
长安,CX20 2011款 1.3L 手动运动版,手动,|有VIN码|,2012,15,0.68
别克,凯越 2015款 1.5L 自动经典型,自动,|有VIN码||新上架|,2016,7.8,2.38
奥迪,A6 2006款 2.4 CVT 技术型,自动,|有VIN码|,2007,14,2.5
哈弗,H6 2012款 2.4L 自动两驱精英型,自动,|有VIN码|,2013,12,1.55
长城,炮 2019款 2.0T商用版手动柴油两驱精英型长箱GW4D20M,手动,|有VIN码||0次过户|,2019,6,6.28
长安凯程,长安睿行S50 2018款 S50V 1.5L 物流版7座 国VI,手动,|有VIN码||0次过户|,2020,4.9,2.98
吉利汽车,吉利GX7 2015款 经典版 1.8L 手动都市型 国V,手动,|有VIN码||0次过户|,2016,9,1.38
比亚迪,F3 2013款 节能版 1.5L 手动舒适型,手动,|有VIN码||0次过户|,2013,8,0.78
现代,特拉卡 2005款 3.5 自动,自动,|有VIN码|,2009,10,2.3
捷豹,XEL 2020款 2.0T 200PS RDYNAMIC S进取运动版,自动,|有VIN码||0次过户|,2020,8.6,14.3
金杯,海狮S 2019款 1.6L财富版国VI SWD16M,手动,|有VIN码||0次过户|,2020,5,3.38
长安凯程,欧诺S 2017款 1.5L欧诺S豪华型EA15AB,手动,|有VIN码|,2018,5,2.78
长安凯程,长安睿行M70 2017款 M70 1.5L舒适型平顶背掀门,手动,|有VIN码||0次过户|,2018,3,1.98
标致,408 2010款 2.0L 自动舒适版,自动,|有VIN码||0次过户|,2011,10.1,1.38
五菱汽车,五菱宏光 2015款 1.5L S 基本型国V,手动,|有VIN码||新上架||0次过户|,2017,8,1.98
雪佛兰,赛欧 2013款 三厢 1.2L 手动温馨版,手动,|有VIN码||0次过户|,2013,8,0.78
荣威,350 2012款 350S 1.5 手动 讯捷版,手动,|有VIN码||新上架||0次过户|,2014,8,1.08
长安凯程,欧诺S 2012款 1.3L标准型,手动,|有VIN码|,2013,9,1.08
依维柯,得意 2017款 2.5T A35客车57座47Z5,手动,|有VIN码||0次过户|,2018,7.8,4.68
福特,福克斯 2009款 两厢 1.8L 自动时尚型,自动,|有VIN码|,2009,12,1.3
长安凯程,长安睿行M70 2019款 1.5L舒适型6座国VI平顶对开门DAM15KL,手动,|有VIN码||0次过户|,2019,7,3.18
现代,名图 2017款 1.8L 自动智能型GLS 国V,自动,|有VIN码||0次过户|,2017,7.2,4.6
长安,CS35 2012款 1.6L 手动舒适型 国V,手动,|有VIN码|,2013,9.2,1.48
长安,逸动新能源 2018款 EV300 悦享型,自动,|有VIN码||新上架||0次过户|,2018,12,2.98
MINI,COUNTRYMAN 2014款 1.6L ONE,自动,|有VIN码||新上架|,2016,9.6,7.88
宝马,3系 2019款 320i M运动套装,自动,|有VIN码||新上架|,2019,5.3,15
本田,雅阁 2015款 2.0L LXS 精英版,自动,|有VIN码||新上架|,2016,12.8,7.3
吉利汽车,嘉际 2019款 1.5TD MHEV DCT臻享型,自动,|有VIN码||新上架|,2020,3.3,7.5
马自达,3 昂克赛拉 2021款 2.0L 自动质睿版,自动,|有VIN码||新上架||0次过户||原厂质保|,2022,4.3,9.6
玛莎拉蒂,Levante 2019款 3.0T 标准版 国V,自动,|有VIN码||新上架||0次过户|,2021,8.8,49.88
福特,金牛座 2018款 EcoBoost 245 卓越型 国V,自动,|有VIN码||新上架|,2018,12,9.9
哈弗,H6 Coupe 2017款 红标 2.0T 自动两驱精英型,自动,|有VIN码||新上架||0次过户|,2017,8,5.38
大众,桑塔纳 2013款 1.6L 自动豪华版,自动,|有VIN码||新上架|,2013,10,2.98
宝马,1系(进口) 2011款 120i 敞篷轿跑车,自动,|有VIN码||新上架|,2013,10.5,6.66
长安,UNIV 智电iDD 2023款 智电iDD 1.5T 113km智酷型,自动,|有VIN码||准新车||新上架||0次过户||原厂质保|,2023,0.27,11
斯巴鲁,森林人 2018款 2.0i 豪华导航版,自动,|有VIN码||新上架||0次过户|,2017,9.6,8.5
奔驰,GLA 2018款 GLA 200 动感型,自动,|有VIN码||新上架||0次过户|,2019,6.5,12
奔驰,E级 2011款 E 300 L 时尚尊贵型,自动,|有VIN码||新上架|,2012,14,7.98
奔驰,C级(进口) 2020款 C 260 4MATIC 旅行轿车,自动,|有VIN码||新上架||0次过户||原厂质保|,2021,4.2,22.68
奔驰,M级 2014款 ML 400 4MATIC豪华型,自动,|有VIN码||新上架|,2015,13.4,17.1
MINI,2016款 1.2T ONE 五门版,自动,|有VIN码||新上架|,2017,8,8.58
宝马,5系 2017款 520Li 典雅型,自动,|有VIN码||新上架|,2016,8.1,14.5
大众,帕萨特 2014款 1.8TSI DSG尊荣版,自动,|有VIN码||新上架||0次过户|,2015,9.7,5.88
吉利汽车,博越 2020款 1.8TD DCT两驱智联型4G互联版,自动,|有VIN码||新上架||0次过户|,2019,12,5.88
马自达,CX5 2013款 2.5L 自动四驱旗舰型,自动,|有VIN码||新上架|,2014,14,5.98
福特,翼虎 2013款 2.0L GTDi 四驱尊贵型,自动,|有VIN码||新上架||0次过户|,2014,9.9,4.98
起亚,狮跑 2013款 2.0L 自动两驱版GLS,自动,|有VIN码||新上架|,2016,9,3.88
福特,翼虎 2017款 EcoBoost 180 四驱豪翼型,自动,|有VIN码|,2016,11,5.98
起亚,赛拉图 2005款 1.6L AT GL,自动,|有VIN码|,2006,14,0.88
猎豹汽车,猎豹CS10 2017款 2.0T 自动领先型,自动,|有VIN码|,2017,8,2.88
东风风神,L60 2015款 1.8L 自动新享型,自动,|有VIN码|,2018,13.4,1.68
长安凯程,欧诺S 2017款 1.5L基本型,手动,|有VIN码||0次过户|,2017,12,1.58
吉利汽车,帝豪新能源 2017款 三厢 EV300 精英型,自动,|有VIN码||0次过户|,2017,25,2.98
广汽传祺,传祺GA3S视界 2014款 1.6L 自动豪华ESP版,自动,|有VIN码|,2014,8.3,2.58
长安凯程,金牛星 2011款 1.3L标准型,手动,|有VIN码||0次过户|,2012,8,0.48
雪佛兰,科帕奇 2012款 2.4L 四驱旗舰版 7座,自动,|有VIN码||0次过户|,2012,13,2.1
别克,凯越 2013款 1.5L 自动经典型,自动,|0次过户|,2013,9.5,1.88
吉利汽车,博瑞 2018款 1.5T MHEV 耀享版,自动,|0次过户|,2019,5.7,6.8
吉利汽车,经典帝豪 2013款 三厢 1.8L 手动尊贵型,手动,|0次过户|,2014,8.6,1.38
奇瑞,瑞虎8 2019款 1.6TGDI 自动精英型,自动,|0次过户|,2020,3.8,7.6
广汽传祺,传祺M6 2019款 270T DCT尊享版（七座）国VI,自动,|0次过户|,2020,2.66,9.28
标致,307 2012款 两厢 1.6L 自动豪华版,自动,|0次过户|,2012,9,1.28
海马,M3 2014款 1.5L 手动旗舰型,手动,|0次过户|,2014,8,1.28
五菱汽车,五菱宏光V 2021款 1.5L改款劲享版LAR,手动,|0次过户|,2020,5,3.58
长安欧尚,欧尚A800 2017款 A800 1.6L 手动智享型,手动,|0次过户|,2017,5.1,3.78
现代,名图 2014款 1.8L 自动尊贵型DLX,自动,|0次过户|,2014,10,4.58
吉利汽车,帝豪 2018款 1.5L CVT尊贵型,自动,|0次过户|,2019,4,3.88
比亚迪,G5 2014款 1.5TID 自动旗舰型,自动,|0次过户|,2015,9,1.98
依维柯,得意 2017款 2.5T A35客车57座47Z5,手动,|0次过户|,2019,6,4.68
长安凯程,长安睿行M80 2014款 1.5L经典型4G15S,手动,|0次过户|,2015,6,1.88
哈弗,H6 2015款 升级版 1.5T 手动两驱都市型,手动,|0次过户|,2016,8,2.38
长城,炮 2021款 2.0T商用版 自动柴油四驱茶王版长箱GW4D20M,自动,|准新车||0次过户||原厂质保|,2022,4,11.38
长安跨越,长安V3 2017款 1.2L客车DK1210,手动,|新上架||0次过户|,2017,6,0.98
上汽大通MAXUS,新途V80 2014款 2.5T 傲运通短轴中顶,手动,|0次过户|,2015,7.8,3.98
五菱汽车,五菱宏光V 2019款 1.5L标准型L2B,变速箱,|新上架||0次过户|,2020,5.7,3.18
金杯,智尚S30 2013款 1.5L 手动舒适型,手动,|0次过户|,2014,8,0.68
宝沃,BX7 2018款 28T 四驱旗舰型 5座 国VI,自动,|0次过户|,2019,15.6,6.28
金杯,海星A7 2012款 1.0L轻劲版XC4F18,手动,|新上架||0次过户|,2014,2.5,0.78
长安跨越,长安V3 长安V3 2017款 1.2L客车DK1210,手动,|0次过户|,2018,6.8,1.78
吉利汽车,吉利GX7 吉利GX7 2014款 2.0L 自动豪华型 国V,自动,|0次过户|,2015,9,1.48
猎豹汽车,黑金刚 2007款 2.4L 手动 豪华型(国Ⅲ),手动,|0次过户|,2008,15,1.60
