作者=>发布时间=>发布ip=>点赞数量=>评论内容
不高但很冷蕾-=>2024-05-18 11:20:46=>来自天津=>241=>两个号抢到8张 根本喝不完 哪位姐妹需要 赞我song______
哈哈么么哒a=>2024-05-18 11:06:37=>来自江苏=>33=>可以给点提示咩，宝宝
一枚酸橘=>2024-05-18 11:27:32=>来自广东=>33=>每次黄牛都能抢到天天倒卖，正真想喝的人就是抢不到_@霸王茶姬CHAGEE_
_-甜圈儿-_=>2024-05-18 12:38:48=>来自北京=>35=>不是，姬姐，跑马就算了，现在下单都下不了怎么回事___你家的小程序好好搞一下吧，好容易崩
無de=>2024-05-18 12:45:37=>来自广东=>17=>能不能搞好小程序，点单都不让点了吗，老崩
阳光倾城少年=>2024-05-18 11:12:00=>来自四川=>16=>_@霸王茶姬CHAGEE_ 姬姐能不能给点提示，前几天都有这几天就没有_________
潦草诗xz=>2024-05-18 11:23:00=>来自广东=>12=>玩不起是吧__________@霸王茶姬CHAGEE_
AnthonyHooo=>2024-05-18 11:50:43=>来自陕西=>8=>蹲答案的姐妹可以去_@小秋十点好物说_ 这个博主那里蹲！这几天答案一直正确✅_________
M是小范啊=>2024-05-18 11:18:36=>来自河南=>7=>现代东方茶会友小红杯
半勺小奶鹿=>2024-05-18 11:11:07=>来自广东=>4=>现代东方茶会友小红杯
咬一口快乐小狗7_=>2024-05-18 11:18:22=>来自浙江=>12=>玩不起吗你 确定有十万杯？
摘一颗麻辣郭巴=>2024-05-18 11:03:20=>来自山东=>8=>看好了就勇敢这一次___
八月与清=>2024-05-18 11:19:38=>来自四川=>7=>玩不起别玩_@霸王茶姬CHAGEE_
鱼饼不是ubing_=>2024-05-18 12:44:18=>来自湖北=>11=>？___
也许近峤屿=>2024-05-18 11:05:16=>来自河南=>3=>我就勇敢这一次
希望快乐耶=>2024-05-18 12:57:35=>来自河北=>11=>修复一下成吗，都不知道点没点上，扣了券显示付款失败______
冰冷晗少-=>2024-05-18 11:04:06=>来自河北=>3=>看好了 我就勇敢这一次 内定我
杏仁饼饼公主=>2024-05-18 11:18:56=>来自天津=>3=>前两天都抢到了今天抢不到 同时用我妈没抢过的手机就能抢到______
被偷走的菜都收回了一冰美式版=>2024-05-18 11:03:10=>来自浙江=>2=>别管我在买_________
怪琦琦7-=>2024-05-18 13:34:40=>来自河北=>3=>我我我
