作者=>发布时间=>发布ip=>点赞数量=>评论内容
城川木巷=>2024-05-18 13:07:34=>来自河南=>64=>小程序进不去啊
佩奇线报=>2024-05-18 13:05:33=>来自江西=>48=>真的有天天跑马
也许近峤屿=>2024-05-18 13:05:38=>来自河南=>46=>小程序维护一下呗
·insomnicstar·=>2024-05-18 13:06:12=>来自安徽=>30=>能不能别崩！每次都是活动太火爆了___
象牙舟与海=>2024-05-18 13:07:50=>来自云南=>27=>四天跑了20次马，一杯没抢到______笑了
Echo陈噯可=>2024-05-18 15:33:54=>来自上海=>29=>四天了一张都抢不到，你那70万张每天给的基本上都是同一批人______
Tonii7=>2024-05-18 13:06:18=>来自广东=>17=>口令对了有什么用，跑马跑了四天我真的笑死
_-甜圈儿-_=>2024-05-18 13:08:21=>来自北京=>13=>修！小！程！序！我！要！喝！茶！
想养只-萨摩耶=>2024-05-18 13:13:01=>来自广东=>9=>为什么口令正确😳它会给我提示口令错误！！！我一退出就没了啊啊啊___
詩_清晨的小鹿=>2024-05-18 22:47:12=>来自广东=>5=>每日陪跑一次，20分还在跑，别人都显示领完了___
啵酱吼吼吼吼猴=>2024-05-18 13:05:47=>来自安徽=>10=>修修你的小程序！我要点单______
跪求各种当选和神席的我=>2024-05-18 13:10:03=>来自江苏=>4=>不是，你看看你的文案第二行的口令，个图片上显示的口令是不是同一个。都是第四期，图片咋回事？？
AnthonyHooo=>2024-05-18 13:38:03=>来自陕西=>8=>蹲答案的姐妹可以跟我一起去_@小秋十点好物说_ 看，这几天每天都是正确的！！_________
旻米米ovo=>2024-05-18 13:06:34=>来自湖北=>5=>跑马的女汉子
就是不知道用什么啊=>2024-05-19 10:57:33=>来自河南=>6=>别搞这种活动了，又爱搞，又承载不了这个流量，进去就是从头卡到尾，有什么意思啊___这活动可以不搞
立志养猫三十只_=>2024-05-19 10:46:57=>来自宁夏=>5=>不到三公里 就超配送范围 搞不起就直接写到店使用呗 ___
不几够00000=>2024-05-18 15:27:24=>来自河南=>4=>放这么多券干嘛？领到券也买不到，我这的店把新品都下架了
小小普Ya=>2024-05-18 15:43:04=>来自河南=>4=>19号有小伙伴知道口令吗？___
沃尔夫-凯西纳尔=>2024-05-18 14:59:27=>来自四川=>1=>门店为什么有关山木兰没有万里木兰______
阳光倾城少年=>2024-05-18 13:18:30=>来自四川=>1=>每次这样____________
