作者=>发布时间=>发布ip=>点赞数量=>评论内容
佩奇线报=>2024-05-19 13:02:45=>来自江西=>113=>每次都能猜对但是每次都跑马的来集合
朝阳区56号佳丽=>2024-05-19 13:03:09=>来自浙江=>41=>一直参与，一直知道口令，一直跑马
半勺小奶鹿=>2024-05-19 13:16:48=>来自广东=>25=>每次都跑马的来集合，能不能弄一下___
阿琰甜的很正经=>2024-05-19 13:53:16=>来自河南=>17=>四家店明明有原料就是不上架 有的店等早上开门或者晚上8点上线半个小时立刻下线 不让用可以直接不送的______虽然理解怕爆单 但不至于找人最少的时间段就偷偷上线半个小时吧
Oo熊叮叮叮叮叮o=>2024-05-19 13:29:48=>来自广西=>17=>这么多店都没有原料，有券都不能用，这个问题你们怎么解决___
星期五出门=>2024-05-19 14:11:53=>来自湖南=>7=>门店都停止接单了___
見呸菊个=>2024-05-19 13:05:43=>来自浙江=>2=>这谁能想得到___
IDT54014=>2024-05-19 13:46:45=>来自江苏=>9=>小程序都爆了根本点不了单，用不了券，我请问呢，不会25号之后小程序就维修好了吧
阳光倾城少年=>2024-05-19 13:13:19=>来自四川=>1=>第一次___
那就在这个夏天和我一起看海叭=>2024-05-19 13:05:05=>来自广东=>1=>一直跑🐴？___
悲伤的草莓大福=>2024-05-19 13:09:39=>来自重庆=>2=>猜对啦___
月亮和六便士都会有的=>2024-05-19 13:07:32=>来自贵州=>1=>一直在跑马
窝窝小李莉168=>2024-05-19 13:04:34=>来自广东=>1=>参加几天了，一次都没得
舟舟想喝粥粥=>2024-05-19 23:12:31=>来自湖北=>0=>抢不到哇
小吴有福气=>2024-05-19 21:21:44=>来自河南=>0=>今天猜错了
矫情的大脸猫_=>2024-05-19 18:47:29=>来自云南=>0=>跑马跑的我心累___
夏天超热的呢=>2024-05-19 18:38:24=>来自广东=>0=>姬姐小程序又崩了______我要喝奶茶______
为橘子准备四季=>2024-05-19 16:13:11=>来自浙江=>0=>新品挺好喝的___
海水有尽头c=>2024-05-19 14:50:02=>来自广东=>1=>建议直接送我___
-FunYANG=>2024-05-19 14:28:41=>来自上海=>1=>好喝______比伯牙好喝___
