作者=>发布时间=>发布ip=>点赞数量=>评论内容
绒莓桂源汁=>2024-05-19 15:21:26=>来自四川=>22=>我们这里已经没有徽章了 凭什么___
晚睡biubiu=>2024-05-19 15:30:30=>来自北京=>18=>现实中没见过___谢邀
一个没有素质的熊猫头=>2024-05-19 15:52:06=>来自云南=>9=>真的吗！姬姐看我！缺瓷器！___
JEromeLau25=>2024-05-19 15:52:54=>来自广东=>5=>门店无物料了___姬姐送我
是我怪吗=>2024-05-19 15:43:48=>来自天津=>5=>只有一个马匹
胡言乱语的小熊=>2024-05-19 22:08:03=>来自云南=>5=>第一天下午就已经什么都没有了 云南专属撕杯也没有 整个昆明找不到一家有 做不起活动别做 那么丁点周边打发谁
养只小骆驼=>2024-05-19 15:35:01=>来自河南=>6=>我17号去喝的，有徽章但是不给
半颗HujIAo=>2024-05-19 21:03:20=>来自云南=>3=>姬姐快看_@霸王茶姬CHAGEE_
_-甜圈儿-_=>2024-05-20 00:01:27=>来自北京=>4=>喝两天新品了什么都没有诶，姬姐送我一套
大王本王wang=>2024-05-19 15:20:08=>来自上海=>3=>好看喜欢 我要！！！超喜欢喝霸王茶姬的一位小女孩～
春卷---=>2024-05-20 00:34:31=>来自河北=>1=>抽到了大宝船
八方来财鱼丸丸大锦鲤-=>2024-05-19 22:43:04=>来自重庆=>1=>转发微博
说给汤圆的妈咪=>2024-05-19 22:22:18=>来自浙江=>1=>徽章___
角角往上跑=>2024-05-19 19:44:37=>来自中国台湾=>1=>来了______
宣鸿章Steve=>2024-05-19 17:46:07=>来自山西=>1=>___喜欢😍
LeeShion_纯=>2024-05-19 15:19:46=>来自广东=>2=>4连了___姬姐看看我可以吗？一天走了3家店都说徽章送完了，我一个也没有___但是真的很喜欢很喜欢你家的周边，设计师审美真的牛啊！
摸你一把小肥脸i=>2024-05-24 21:50:19=>来自上海=>1=>__#霸王茶姬521国际茶日#__ 喝了睡不着_________
云霄na=>2024-05-22 01:58:32=>来自黑龙江=>1=>徽章好看！想要！！______
李米飞飞儿=>2024-05-21 17:36:46=>来自四川=>1=>__#霸王茶姬现代东方茶#__ 一起见证现代东方茶走向世界___！_@霸王茶姬CHAGEE_
我爱的人在远方=>2024-05-21 17:26:39=>来自浙江=>1=>__#霸王茶姬现代东方茶#__ 一个徽章都没有，好想看看长啥样
