作者=>发布时间=>发布ip=>点赞数量=>评论内容
谢biubiu大王呀=>2024-05-20 15:49:22=>来自江苏=>5=>夏梦玫珑啥时候上架啊
My李嘻嘻=>2024-05-20 10:47:00=>来自广西=>7=>5.20口令：活动太火爆了，请稍后再试  （再送你10秒倒计时） 不用客气！
超话社区=>2024-05-20 10:33:27=>=>1=>叮~！您使用 “霸王茶姬” 发布的微博，已被超话君收录到您的专属超话 _____霸王茶姬__ 中了凹~想知道粉丝们都在超话里聊些什么嘛~快来宠粉翻牌吧！直达现场&gt;&gt;  _____霸王茶姬__
炽夏秘语_=>2024-05-20 11:31:31=>来自安徽=>4=>抢不到就抢不到呗，10s又10s跑马算怎么回事___
也许近峤屿=>2024-05-20 10:34:23=>来自河南=>3=>好的好的好的维护好小程序天天少跑点马
月亮颂诗=>2024-05-20 13:23:46=>来自河南=>5=>抢到了券 线下门店也用不了啊______全市都说缺货没茶叶做不了 什么时候能补货也不确定 万木兰有券也点不了 门店直接下架了 玩不起能不能别做活动___
炽夏秘语_=>2024-05-20 11:32:03=>来自安徽=>3=>我这又不是跑马场，天天跑🐴
拥有姓名的小小现代人=>2024-05-20 11:18:24=>来自广东=>4=>抢了四天 没一天抢到 做不起活动，别做。
LeeShion_纯=>2024-05-20 10:34:05=>来自广东=>1=>姬姐姬姐我爱你
阳光倾城少年=>2024-05-20 10:33:56=>来自四川=>2=>在这特别的日子里，想对你说：我爱你，就像薯条离不开番茄酱。
青椒炒国宁=>2024-05-20 10:48:29=>来自河南=>4=>缺货什么意思，搞不起别搞
李一定会好运-=>2024-05-20 12:10:59=>来自四川=>6=>新品下架了___玩不起别玩我还有三张券还没开始用，结果下架了______________________________________________________________________________________________________
季风约=>2024-05-20 12:08:14=>来自吉林=>1=>一次都没抢到过 真的有人抢到过吗？
要开始起航了=>2024-05-20 11:20:01=>来自河南=>1=>玩不起就别玩!
郑在发财111=>2024-05-20 11:19:55=>来自陕西=>1=>玩不起别玩
她不吃秋葵=>2024-05-20 10:46:28=>来自福建=>1=>现代东方茶链接你我每一天___
杭州LGD九尾JW=>2024-05-20 10:45:54=>来自安徽=>1=>___口令是啥呀
珠泫主人草我=>2024-05-20 10:42:08=>来自江苏=>1=>___门店不开小程序 券怎么用
啊哈哈冰=>2024-05-20 11:43:02=>来自广东=>0=>共同见证
持续放晴_=>2024-05-20 11:24:32=>来自广东=>0=>我没抢到
