作者=>发布时间=>发布ip=>点赞数量=>评论内容
微博抽奖平台=>2024-05-23 11:35:10=>=>31=>奖品名称：原叶鲜奶茶大杯券*100人，原叶鲜奶茶大杯券*100人，原叶鲜奶茶大杯券*20人；抽奖时间：2024-05-28 17:32:00；抽奖规则：_____抽奖详情__
微博抽奖平台=>2024-05-23 11:35:08=>=>23=>奖品名称：原叶鲜奶茶大杯券*100人，原叶鲜奶茶大杯券*100人，原叶鲜奶茶大杯券*100人；抽奖时间：2024-05-28 17:30:00；抽奖规则：_____抽奖详情__
摆烂了摆烂了la=>2024-05-21 11:21:43=>来自浙江=>155=>神金吧你，口令还能重复使用
周黑鸭官方微博=>2024-05-21 11:24:41=>来自湖北=>18=>以东方茶，会世界友___
阳光倾城少年=>2024-05-21 11:20:40=>来自四川=>10=>霸王茶姬现代东方茶
A_Akkura=>2024-05-21 11:22:22=>来自重庆=>14=>马都要跑累了，都抢不到一点______
欧什么迪=>2024-05-21 11:21:33=>来自广东=>17=>小程序真的很垃圾___
面包不喝奶茶=>2024-05-21 11:21:56=>来自山东=>11=>跑马前四次都不显示口令错误___ 刷实时微博才看到口令的___
阿瑾起不来床=>2024-05-22 15:47:00=>来自山东=>5=>跟霸王茶姬健康大使一起喝茶____________
说不出99=>2024-05-21 11:24:00=>来自广东=>7=>领取中-------业务繁忙，请稍后在试，    笑死人，有什么意思呢？___
_宇yu__=>2024-05-27 23:08:24=>来自山东=>1=>__#霸王茶姬现代东方茶#__ ______
飞沙的分身=>2024-05-22 15:39:37=>来自上海=>2=>和汪顺一起干杯
Steve专属的泳道=>2024-05-22 15:35:39=>来自浙江=>3=>_____汪顺__穿越历史，跨越时间，一起__#CHAGEE TOGETHER#__!
佛系糯米斯密达=>2024-05-21 19:20:48=>来自浙江=>2=>霸王茶姬现代东方茶连接每一天
Seto-o=>2024-05-21 14:41:26=>来自湖北=>1=>我来咯_______________
阿晨是锦鲤阿=>2024-05-21 12:47:12=>来自广东=>1=>__#霸王茶姬现代东方茶#__ 我是铁粉  会一直支持你哦
酒肆米酿水饺=>2024-05-21 11:33:00=>来自江苏=>2=>哥们你是真的玩不起是吧
遇健_=>2024-05-21 11:22:30=>来自浙江=>2=>总算抢到一次___正好刷到试密码的[电影特技狂人]
行雲之至=>2024-05-21 16:04:51=>来自四川=>6=>说好的以茶会友，看到的却是跑马溜溜___
疯批虾滑=>2024-05-27 23:05:30=>来自山东=>1=>__#霸王茶姬现代东方茶#__ ______
