作者=>发布时间=>发布ip=>点赞数量=>评论内容
Loraldia=>2024-05-22 20:56:35=>来自广西=>71=>姬 牛牛哒
ciro爱浩克=>2024-05-22 21:49:26=>来自河南=>9=>远方的茶友发来报道___
小鑫儿的海角=>2024-05-22 21:59:42=>来自陕西=>12=>来来来，跟我看霸王茶姬走向世界！（ps：我家电视不大，大家将就着看___）
Sposyray=>2024-05-23 08:20:57=>来自青海=>72=>全球人民一起睡不着
巷子口的小郎君=>2024-05-22 20:52:22=>来自新疆=>6=>21要开的活动都没开呢
傲戊嗷呜嗷=>2024-05-22 22:00:59=>来自四川=>3=>_____网页链接__这条什么时候开
王鹤辞-=>2024-05-23 13:09:40=>来自江西=>1=>来咯来咯___
榆喑=>2024-05-23 13:48:24=>来自辽宁=>1=>看到啦___
有情有义的年轻人=>2024-05-22 22:45:29=>来自辽宁=>9=>姬姐牛掰！______
浪味奶呜呜_=>2024-05-22 22:13:23=>来自重庆=>2=>出息了姬姐，希望你能保持初心_________
淘米不换教练不改名=>2024-05-23 20:17:52=>来自浙江=>1=>郑钦文
星星都为你落下来了ya=>2024-05-23 14:58:40=>来自江苏=>1=>没会员发不了图，但是真的好喜欢茶姬，我的毕业论文就是写的霸王茶姬呦~我是超级无敌忠诚粉，祝茶姬越来越好___
白白滴倩儿=>2024-05-22 21:55:40=>来自北京=>1=>今天看到了，但是没来得及拍，光给家人介绍了___“这就是我说的那个特别好喝的奶茶”然后家里人一人点了一杯___
今天也努力生活咯=>2024-05-22 21:35:44=>来自甘肃=>1=>想喝___
戳布nash=>2024-05-22 21:22:37=>来自广东=>1=>恭喜姬姐，太霸气了
今天一定会幸运=>2024-05-22 21:05:39=>来自上海=>1=>霸王茶姬走向世界，成为世界级别的tea🍵！看好霸王茶姬，因为喜欢伯牙绝弦、桂馥兰香、万里木兰！！！！
hustlegirl=>2024-05-23 18:28:56=>来自上海=>3=>拍几个外国人举着茶杯子就全球化了？你们在全球都干嘛了哈哈哈
荏苒冬春去--=>2024-05-23 00:48:33=>来自云南=>1=>姬姐现在强的可怕___
__Solaris__=>2024-05-23 17:05:38=>来自江西=>0=>______
KIMI塔塔=>2024-05-23 16:24:05=>来自北京=>0=>爱喝
