作者=>发布时间=>发布ip=>点赞数量=>评论内容
BaekTyoL_=>2024-05-28 17:37:38=>来自山东=>4=>俺也有
周黑鸭官方微博=>2024-05-28 16:03:15=>来自湖北=>0=>一缕茶香，一缕夏风___
超话社区=>2024-05-28 16:01:37=>=>0=>叮~！您使用 “霸王茶姬” 发布的微博，已被超话君收录到您的专属超话 _____霸王茶姬__ 中了凹~想知道粉丝们都在超话里聊些什么嘛~快来宠粉翻牌吧！直达现场&gt;&gt;  _____霸王茶姬__
K先生追随者=>2024-05-28 17:13:07=>来自北京=>1=>啊啊啊我没有送我___
宣鸿章Steve=>2024-05-28 17:00:11=>来自山西=>1=>来了来了___
Marsgrape=>2024-05-28 16:35:41=>来自广东=>1=>____________
堆雪人的小葵=>2024-05-28 16:21:48=>来自安徽=>1=>______
阳光倾城少年=>2024-05-28 16:07:27=>来自四川=>1=>图片评论
花生虫子=>2024-05-28 16:06:29=>来自江苏=>1=>徽章_________
喵喵小亓=>2024-05-31 14:58:56=>来自河北=>1=>一缕茶香，一缕夏风🍃与好友来场说走就走的茶约吧⛰
暖色的sunflower=>2024-05-31 20:34:28=>来自中国=>1=>_________喜欢～
Fantast1cBaeBae=>2024-05-30 13:03:50=>来自江苏=>1=>我有收集癖 翻我___
Sunshine文姐姐=>2024-05-29 08:20:58=>来自海南=>1=>_________4_________已转_@霸王茶姬CHAGEE_
是小薇薇呢-=>2024-05-29 01:24:24=>来自广东=>1=>实话实说，想要徽章_@霸王茶姬CHAGEE_
是小薇薇呢-=>2024-05-29 01:23:48=>来自广东=>1=>喜欢的人和喜欢奶茶，还是那个调调~______
驷月_=>2024-05-28 20:51:04=>来自重庆=>1=>好好好_________
梅少zZ=>2024-05-28 18:50:29=>来自广东=>2=>姬姐 晚上好这次一定要有我
梅少zZ=>2024-05-28 18:49:54=>来自广东=>2=>__#万里木兰#__
He青梅绿茶=>2024-05-28 17:38:23=>来自河南=>1=>想要啊啊啊啊啊啊啊啊啊啊，以我二十年的寿命跟你换___
橘-SONG=>2024-05-28 16:34:43=>来自福建=>1=>___
