作者=>发布时间=>发布ip=>点赞数量=>评论内容
jubruiiuq=>2024-05-28 21:23:58=>来自山西=>97=>青！青！糯！山！就爱吃草！
RLing_7=>2024-05-28 21:26:32=>来自四川=>111=>夏梦玫珑啥时候上？？？？啥时候？？？
pngyfn_=>2024-05-28 21:23:26=>来自四川=>76=>寻香山茶 太喜欢山茶花味了___
Ma3y_=>2024-05-28 21:23:14=>来自江苏=>41=>花田乌龙…给我返场啊啊啊啊招魂
旼炡年=>2024-05-28 21:28:03=>来自江西=>26=>万山红金丝小种！
-碰上彩虹吃定彩虹=>2024-05-28 21:25:34=>来自安徽=>28=>我最喜欢醒时春山，特别清新自然的口感，杯子也特别好看，怎么喝都喝不腻___
早睡左左=>2024-05-29 10:20:37=>来自河南=>20=>夏梦玫珑🍈🍈🍈🍈🍈🍈🍈_@霸王茶姬CHAGEE_ 一到夏天就想喝这个啊[电影特技狂人][电影特技狂人][电影特技狂人][电影特技狂人]超赞
花生虫子=>2024-05-28 21:27:09=>来自江苏=>15=>桂馥兰香，从冬天一直喝到了夏天___
K_koala_K=>2024-05-29 00:11:50=>来自广西=>15=>白雾红尘 就算天王老子来了它绝对是第一
桉葉有毒嗎=>2024-05-28 21:23:14=>来自广东=>8=>夏梦玫珑我永远的白月光
他说我很美国=>2024-05-28 21:23:03=>来自四川=>7=>青青糯山_________真的特别喜欢啊啊啊啊一股香香的草地的味道，到底是谁在说它不好喝！
小周今天起床了吗=>2024-05-28 21:49:23=>来自贵州=>16=>伯牙绝弦秒了，心中的白月光_________
Find寻迹-=>2024-05-28 22:08:35=>来自山东=>6=>万山红金丝小种！！！上大分！！！最爱红茶底，没有理由！！！！盲目喜爱！！！
Hzyazww=>2024-05-29 00:28:09=>来自四川=>7=>___真的超爱青沫观音 铁观音爱好者真的超爱___ 冷的热的都好喝 还有春日桃桃什么时候返场
元时沐年=>2024-05-29 10:35:31=>来自江西=>6=>白雾红尘秒了！微糖！很好喝
CAD滚出我的世界=>2024-05-28 21:38:38=>来自贵州=>5=>夏梦玫珑
杨幂老师看这边=>2024-05-28 22:11:24=>来自陕西=>7=>夏梦玫珑
想喝凉茶了=>2024-05-28 21:27:39=>来自广西=>3=>top1去云南玫瑰普洱___特别喜欢玫瑰🌹
梦云Jessica=>2024-05-29 01:38:27=>来自云南=>4=>为什么pick我们 夏梦玫珑 的这么少，明明超清爽的蜜瓜味！___
王俊凯恭喜我发财k=>2024-05-28 21:42:12=>来自湖北=>5=>桂子飘飘仙品___________#霸王茶姬#__
