作者=>发布时间=>发布ip=>点赞数量=>评论内容
晚安月亮派=>2024-05-30 11:20:12=>来自天津=>783=>木兰百兰（摆烂（bushi）
布小点点呀=>2024-05-30 11:30:45=>来自广东=>321=>百里木兰；一里木兰，千里木兰___你选一个吧
猫猫生十个=>2024-05-30 11:25:51=>来自广西=>237=>研发部搞快___
清朗就清彻底=>2024-05-30 11:31:54=>来自上海=>150=>周一特需
帕恰gou=>2024-05-30 11:18:41=>来自江苏=>292=>叫百里木兰吧，一眼就看出来是万里木兰的改造款___
青春是首唱不完的诗=>2024-05-30 11:22:25=>来自北京=>234=>木兰花开___取自《木兰辞》意为回归女儿身的低咖啡因版本，对应万里木兰，出征将军的高能版本！
今天还是很懒-=>2024-05-30 11:43:57=>来自广西=>163=>夏天到了我的夏梦玫珑呢_________
584双肩包=>2024-05-30 11:17:19=>来自广东=>105=>千里木兰（bushi）
快乐小猫勇闯地球=>2024-05-30 11:18:29=>来自河南=>112=>白天喝了万里木兰，晚上就去替父从军了___
飞侠的猪=>2024-05-30 11:22:00=>来自四川=>61=>百里守约
lynnoshe=>2024-05-30 12:19:17=>来自广东=>53=>要不叫“晚安木兰”______
阳光倾城少年=>2024-05-30 11:17:17=>来自四川=>25=>图片评论
-mktt-=>2024-05-30 11:47:44=>来自北京=>21=>十里木兰（不用跑万里哈哈哈
看了是美女=>2024-05-30 11:20:12=>来自广东=>24=>茶是下午四点半喝的，人是第二天早上七点睡着的___
一只喵米Oo=>2024-05-30 18:32:51=>来自云南=>15=>就叫“木笔春萃”吧，因为玉兰别名木笔，喜欢阳光温暖，在春天的时候开始开花，萃有草木丛生的意思，寓意生命繁荣，和睦团结。
胡喵喵Mua_=>2024-05-30 13:05:37=>来自广西=>11=>想睡的喝什么都睡得着，不想睡的又菜又爱喝还怪别人头上
cioftiAbrisbAnEzEn=>2024-05-30 11:27:30=>来自福建=>8=>百里锡兰
慕城半夏=>2024-05-30 11:28:02=>来自浙江=>7=>虽然我一次性点了46杯的万里木兰，可惜的是我一杯也没喝到_________ ps：我觉得咖啡因版的名字可以叫：“女中豪杰”___毕竟大部分人在听完这个故事的时候，都会油然而生的想拥有个英雄梦
阿玮Bot=>2024-05-30 11:19:57=>来自安徽=>10=>______现在不喝瑞幸都改喝霸王茶姬来提神了
打糕雪冰贩售处微博没被锁版=>2024-05-30 13:18:53=>来自四川=>8=>应该是取自“万里赴戎机，关山度若飞”吧，可以取“飞山木兰”___
