自由自在的花路=>2022-03-03 21:06:22=>28=>美式民主峰会，是世界和平的威胁！
成都共青团=>2022-03-03 21:06:37=>16=>美国盗用民主旗号服务一己私利，世界人民已看得越来越清楚，公道自在人心！
学长d胖胖兔=>2022-03-03 21:02:02=>10=>美国民主是什么国际玩笑<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
龏奭嚻艸=>2022-03-03 21:05:20=>6=>美国只有金钱民主，白人民主，利己民主！👎👎👎
她入他城丿黄泉=>2022-03-03 21:05:22=>6=>俄罗斯召开首届国际反法西斯大会<span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span>
重拾_狗狗祟祟的快乐=>2022-03-03 21:46:57=>2=>美国民主是什么国际玩笑
天选之子大大锦鲤=>2022-03-04 06:54:55=>1=>我们要安定，不要乱世
取好名是猪=>2022-03-03 22:31:06=>1=>全世界人民团结起来 打倒美帝国主义
科幻小说宇航员=>2022-03-03 21:04:14=>1=>打倒美帝国主义
K媛子=>2022-03-03 21:03:48=>1=>公道自在人心
Tiger-寅虎嗷呜=>2022-03-04 15:38:02=>0=>美国屠杀印第安人，还有脸谈民主。
我会炸麻团Yee_=>2022-03-04 07:27:36=>0=><span class="url-icon"><img alt=[污] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_wu-374e5572e8.png" style="width:1em; height:1em;" /></span>
奥特曼的果子佳=>2022-03-03 23:04:40=>0=>打倒美国帝国主义！！！
小昕紫hf=>2022-03-03 22:29:37=>0=>美国yue<span class="url-icon"><img alt=[吐] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tu-cfbe704573.png" style="width:1em; height:1em;" /></span>
念念恋啵啵=>2022-03-03 22:01:09=>0=><span class="url-icon"><img alt=[哆啦A梦吃惊] src="https://h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_01chijing-31d5542cca.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哆啦A梦吃惊] src="https://h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_01chijing-31d5542cca.png" style="width:1em; height:1em;" /></span>
倩大妞YYY=>2022-03-03 21:26:49=>0=><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span>
Nov_wycl=>2022-03-03 21:23:10=>0=>转发微博
林继明=>2022-03-03 21:14:35=>0=>美国人脸皮的厚度堪比米其林轮胎！<span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span>
Ten加一_=>2022-03-03 21:09:04=>0=>美国盗用民主旗号服务一己私利，世界人民已看得越来越清楚，公道自在人心！
唯Love晨熙=>2022-03-03 21:05:02=>0=><span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
海棠花城海棠之城=>2022-03-04 06:46:26=>0=>所谓的美国民主峰会是挂羊头卖狗肉，实质是欺骗全世界！<span class="url-icon"><img alt=[笑而不语] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-5170f2f55c.png" style="width:1em; height:1em;" /></span>
枫林寒山石=>2022-03-04 06:13:47=>0=>啥时候世界人民能认清美国虚伪的真面目？！
LMM70=>2022-03-04 04:03:32=>0=>民主是民主，美式民主是美式民主。
沸腾我的双眼=>2022-03-04 00:55:11=>0=>民主？钱主、票主吧
mybenben282313141816=>2022-03-04 00:22:54=>0=>转发微博
N-1-萘基乙二氨盐酸盐=>2022-03-03 23:27:54=>0=>美国？民主？噗🙊
霸道总裁的喵=>2022-03-03 21:52:50=>0=>美式民主就是给人类社会带来不断的纷争，必须消灭美国<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
窗外有雨LI=>2022-03-03 21:52:01=>0=>美国把“民主”这个遮羞布玩烂了！
姜木可是谁啊=>2022-03-03 21:48:55=>0=><span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>什么时候能取消香港人的优越感。最近疫情，受够了
Sevnming=>2022-03-03 21:30:31=>0=>美国搅得世界没有安宁<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打脸] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_dalian-306eefb12a.png" style="width:1em; height:1em;" /></span>
从前有座小山山=>2022-03-03 21:21:24=>0=>民主？印第安人问候美国白人全家
微笑小福星=>2022-03-03 21:19:10=>0=>漂亮国就是披着羊皮的狼
金陵未醉人=>2022-03-03 21:18:30=>0=>美国是世界上最无耻的国家！
瞳复活=>2022-03-03 21:12:08=>0=>美国盗用民主旗号行使霸凌强权
符强-=>2022-03-03 21:03:16=>0=>美国的人权就和我写的作文一样，满篇废话
wuyuu紫=>2022-03-03 21:01:53=>0=>是时候再来一次五月风暴了<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
居高声自远__=>2022-03-03 22:23:54=>0=>美国驰名双标<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
漫步云中去天涯=>2022-03-03 21:56:05=>1=>未来世界清算时，美国必须彻底去军事化并永久中立。。。这是世界和平的根基。美国驻华大使馆
DongKiZ_land=>2022-03-03 21:50:32=>0=>对世界和平的威胁！
