塞北镇羌堡=>2022-03-27 12:20:25=>274=>有被问责吗，好搞笑
湫霂霂吖mua深魈=>2022-03-27 12:23:49=>56=>说得挺好听，但是下面部分医院不听呀<span class="url-icon"><img alt="[苦涩]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png" style="width:1em; height:1em;" /></span>，唉……
我盆盆跨火而来=>2022-03-27 12:20:30=>41=>唉，人家压根不怕你们这些<span class="url-icon"><img alt=[伤心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_shangxin-49b2fe44a6.png" style="width:1em; height:1em;" /></span>
收之东yu=>2022-03-27 12:26:55=>42=>他们还记得抗疫的初衷吗，别到时候这期间因为死规矩被耽误病情而死亡的人比新冠去世的还多
天生我材必抗压=>2022-03-27 12:24:46=>29=>推了没人会被处理，但是感染了会有人官位不保，只强调有什么用
粑粑超人86变身蛋蛋超人ing=>2022-03-27 13:03:10=>19=>口号喊的响没有用！要实际落地，要有灵活的政策！要让一线人员没有思想负担！
娜家123=>2022-03-27 12:40:06=>13=>上海怎么回事，像是灵异事件
她入他城丿黄泉=>2022-03-27 12:19:49=>7=>生命最高
成都共青团=>2022-03-27 13:28:33=>1=><span class="url-icon"><img alt=[话筒] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png" style="width:1em; height:1em;" /></span><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%AB%E5%81%A5%E5%A7%94%E5%86%8D%E6%AC%A1%E5%BC%BA%E8%B0%83%E4%B8%8D%E5%BE%97%E6%8E%A8%E8%AF%BF%E6%8B%92%E7%BB%9D%E6%82%A3%E8%80%85%23&extparam=%23%E5%8D%AB%E5%81%A5%E5%A7%94%E5%86%8D%E6%AC%A1%E5%BC%BA%E8%B0%83%E4%B8%8D%E5%BE%97%E6%8E%A8%E8%AF%BF%E6%8B%92%E7%BB%9D%E6%82%A3%E8%80%85%23" data-hide=""><span class="surl-text">#卫健委再次强调不得推诿拒绝患者#</span></a>
蓝莓_草莓_蔓越莓=>2022-03-27 12:37:01=>8=>关注一下吉林疫情吧，半个多月人数居高不下，买不到菜，没人管，只管封城，不管民生<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%95%BF%E6%98%A5%E4%B9%B0%E8%8F%9C%23&extparam=%23%E9%95%BF%E6%98%A5%E4%B9%B0%E8%8F%9C%23" data-hide=""><span class="surl-text">#长春买菜#</span></a>
猕猴桃的爸比=>2022-03-27 12:57:41=>6=>我也想说，国家卫健委能管的了各地省吗？人家各地肯定听自己省里的指示呀！卫健委这个通知发的不尴尬吗？<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
