芝心酿酒姜撞奶=>2022-03-30 10:54:06=>450=>少催，多关心自己
爱投三分的猪头=>2022-03-30 10:54:17=>323=>这妈真的有问题啊
清纯watermelon去冰佳人=>2022-03-30 11:07:11=>298=>国家真的催婚催生了吗，是路灯挂件们着急了吧，国家要的是优生优育一代更比一代强的高素质人口，滋本要的才是只要你生下来我就能割到韭菜，还有一部分五十万们致力于胡乱曲解政策制造假消息来搞男女对立婚否对立，以达到割裂社会的目的，说起来这群人和急需韭菜的那群人应该打起来啊。<span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span>
·小王很酷不聊天·=>2022-03-30 11:00:42=>97=>恩格斯《家庭、私有制和国家的起源》
清清清清清媆=>2022-03-30 10:55:04=>54=>结婚不一定开心啦<span class="url-icon"><img alt="[开学季]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png" style="width:1em; height:1em;" /></span>自己开心就好啦
爱你永远无绝期=>2022-03-30 11:02:34=>41=>如图
乖癖熊=>2022-03-30 10:58:37=>42=>大三就催婚，这也太离谱了。那边把结婚看的太重了吧。
24K方草块=>2022-03-30 11:02:28=>42=>徐州丰县铁链一栓，假证一办，这就是合法婚姻，真够高度个人化的<span class="url-icon"><img alt=[嘻嘻] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-643ef6e48d.png" style="width:1em; height:1em;" /></span>
野原小朱=>2022-03-30 10:54:01=>15=>嗯
仗剑天涯行=>2022-03-30 10:57:43=>25=>第2条，你这是在糊弄鬼呢？？？把培养新韭菜说的这么冠冕堂皇，
碳基机=>2022-03-30 10:56:14=>15=><span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>没有钱没有房没有时间，还要我结婚，干脆杀了我得了
illsnowman=>2022-03-30 10:54:36=>9=>呃呃呃
小丸子de南瓜梦=>2022-03-30 11:01:44=>15=>团团的话太暖心了。如果婚姻能给人带来安全感、幸福感，在适合的时间遇到合适的人，我们会走入婚姻的。过多过度的催婚，只会适得其反。
浮昼放映=>2022-03-30 10:54:01=>7=>原来如此
爱遨游海洋的雪宝=>2022-03-30 10:54:16=>8=>没钱没安全感，结婚太累了<span class="url-icon"><img alt=[单身狗] src="https://h5.sinaimg.cn/m/emoticon/icon/_/co_niuec-7d05bc992a.png" style="width:1em; height:1em;" /></span>
抹茶抹茶抹茶拿铁=>2022-03-30 10:57:36=>5=>此处艾特我全家人，别催我了！！！！<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
有只呆小猪=>2022-03-30 10:55:43=>5=>就选自己喜欢的生活呗
真性情的疯子=>2022-03-30 10:53:58=>5=>这不是那个必须结婚的时候了
光脚的安妮=>2022-03-30 11:05:08=>5=>每个人都应该慎重对待婚姻。尤其女性。
荔城区紫霄东路2121号--=>2022-03-30 10:55:26=>5=>新时代VS老一辈思想， 胜率不高啊
部门的工作人员=>2022-03-30 10:57:10=>5=>离婚冷静期取消了结婚率应该能上去一点，现在不是不想结婚，是不敢<span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span>
请喊我阿蛋=>2022-03-30 11:08:44=>5=>所以减轻负担里面怎么不写房价呢<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
____草姐=>2022-03-30 11:04:05=>5=>看图说话
感叹号兄弟豚踢兔=>2022-03-30 10:57:31=>2=>呃呃呃
夏天有丶丶热=>2022-03-30 10:56:34=>5=>大家都知道年轻人不愿意结婚生子或者是没条件结婚生子的根本原因在哪，但是就是没人想着解决这个根本原因
今天兔子说话了吗=>2022-03-30 10:55:16=>3=>顺其自然
·蛋宝·=>2022-03-30 10:54:33=>2=>希望cun晚别关心就好
康汀汀=>2022-04-19 18:32:21=>1=>一切自愿 生而为人应享有自由
路路吃面=>2022-03-30 13:07:29=>2=>结婚是一个很重要的事情，不要为了结而结，逼着自己去适应另一个人。
重拾_狗狗祟祟的快乐=>2022-03-30 12:20:07=>1=>顺其自然
大概是小七=>2022-03-30 11:30:07=>1=>好
无所谓啦喲=>2022-03-30 10:55:00=>3=>身在徐州，你就知道重男轻女的严重性，但是我的孩子以后想结婚就结婚不想随便，我养的起，绝不催婚
头像炎亚纶瓜=>2022-03-30 11:15:18=>3=>待会就精选评论了……来评论区这点勇气都没有怎么面对广大青年人？？？
无言感激TakeMyBreathAway=>2022-03-30 14:41:08=>1=>父母不开明、婚恋有阴影。<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
GreggPopovich-SA=>2022-03-30 14:17:34=>1=>催婚属于软暴力，建议立法保护
刘兆华微博=>2022-03-30 12:10:43=>1=>婚姻自由从来就没有，只要父母不同意的爱情，孩子就真的没办法，很痛苦
