Citrus_澴_paradisi=>2022-04-05 07:33:49=>571=>为什么会有做视频嫁接这种人？
随便杠吧理你算我输=>2022-04-05 07:34:38=>475=>注意反动分子带节奏，官方通报它们又不信，除了它们认定的，都是假的
仔仔棒ssy=>2022-04-05 07:31:35=>384=>视频嫁接<span class="url-icon"><img alt=[生病] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_shengbing-b740fa9852.png" style="width:1em; height:1em;" /></span>
不要靠近逆水寒会变得不幸=>2022-04-05 07:33:59=>386=>相信官方说法，这事49中味太浓了
这个兔子不太软=>2022-04-05 07:35:28=>188=>最近妖魔鬼怪有点多<span class="url-icon"><img alt=[喵喵] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png" style="width:1em; height:1em;" /></span>
日常在线摸鱼中=>2022-04-05 07:39:03=>146=>严惩罪犯的同时希望也能严惩恶意嫁接视频的造谣者
不会标点符号的刘sir=>2022-04-05 07:30:30=>157=>杀人偿命 欠债还钱
广东mengge=>2022-04-05 08:06:11=>118=>1450话术都一样，就是把事情往官员上带，看了那么多都看腻了，能不能用点心编点好的剧本
我的碗里都是小甜甜=>2022-04-05 08:40:37=>91=>说实话，这事一开始我看到什么“杀人犯是校长外甥所以能只手遮天”我就觉得假，因为学校发生这种事，第一个处理撤职的就是校长，自身都难保怎么可能还能包庇杀人犯外甥。
人生旅途我不哭=>2022-04-05 07:33:50=>92=>任何事件，总有人带节奏，目的是什么很清楚，49中事件后，还有人不明白吗？！
不想努力了的西风=>2022-04-05 07:34:08=>78=>这份调查写的很清楚明白了，不要再被带节奏了！
宁是我此生的眷恋=>2022-04-05 07:33:37=>66=>一条鲜活的生命就这样没了。🙏
默语奇=>2022-04-05 07:59:07=>93=>每一个字都不可信，那几个高中生就在旁边看戏？？？看来你们是没经历过校园暴力
番茄炒蛋东坡肉=>2022-04-05 07:58:15=>53=>再小的杀人犯也是杀人犯，严惩罪犯，减少校园暴力！另外对造谣源头进行溯源，天天被谣言充斥的网络，真的不能好好治理吗？
拉扯中心主任=>2022-04-05 07:35:58=>49=>嫁接的视频 说明校园暴力还是屡禁不止
轻予_=>2022-04-05 07:50:37=>35=>那些质疑14岁打一拳致死的，你想着中的14岁是多大？，现在14岁的小孩基本是成年人的身高体重了，何况是打到心脏位置，每次有事发生，不管真相就开始用几张截图，几段不知真假的视频开始乱带节奏，可以发声，可以寻求事实真相，但是，请不要造谣，传谣。
水闲闲=>2022-04-05 07:32:28=>44=>2个人打架，6个人劝架，其中一个被打死了…劝架的6个人都拉不开2个人？逻辑通不通？
Me_chinyee=>2022-04-05 07:56:11=>34=>此类事件层出不穷，归根到底就是法律出了问题。现在小孩都知道未满18岁枪毙不了他，其次00后营养、信息都很丰富，个个都人高马大，如果在按以前的标准肯定不行。建议把负刑事责任的年龄下调到8周岁，死刑年龄下调到10周岁。
不要再吃肉了_=>2022-04-05 08:22:10=>33=>中文互联网上有很多邪教和分裂势力，还有台湾绿🐸港独分子在搅浑水 不要盲目跟风他们到处乱发音复制 相信自己的国家
迷途荼靡z=>2022-04-05 07:46:07=>34=>能放出来走廊的监控视频或者验尸报告之类可以看到的证据吗
reinhardrong=>2022-04-05 08:58:43=>27=>图片评论
-枫林晩-=>2022-04-05 07:36:14=>18=>造谣的必须严惩！！！！！
辛律正常=>2022-04-05 08:03:43=>14=>看评论真的发现，越是懂的少的人越觉得自己懂得多。
沉清酒=>2022-04-05 10:02:04=>20=><span class="url-icon"><img alt=[思考] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_sikao-ff9602dd08.png" style="width:1em; height:1em;" /></span>就是疑点太多了，那六个人成了劝架的好人？匪夷所思<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>经历过校园暴力的人都知道，怎么可能纯看热闹，结果这几个人就摇身一变成旁观者了<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>其实如果不是大家呼声高，这六个“围观者”都不会出现在文中<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
listentoyourv=>2022-04-05 07:37:27=>16=>“左胸部遭钝性外力作用致心脏震荡引发心律失常死亡”
炸号狂魔老豆腐=>2022-04-05 07:40:26=>24=>你猜我信不信<span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
笼子里的小狮子=>2022-04-05 09:01:59=>21=>为什么要删除他父亲的视频撤掉热搜，我不明白，有问题查就行了，为什么要这样
熊二熊大和光头强=>2022-04-05 08:55:50=>14=>所以是死者去另一个宿舍邀请他四个朋友去自己宿舍玩，期间要借嫌疑人的卫生纸，（暂时称为嫌疑人），然后嫌疑人拒绝了，死者自己去翻人家柜子，后来俩人打起来了，死者四个朋友劝架，不了了之。之后，死者再次找到嫌疑人打架，被嫌疑人撞倒，然后打架停止。不久之后，两人又一次对峙，嫌疑人打了死者上
不要別的历史=>2022-04-05 07:30:57=>15=>让子弹飞一会
王凤春-=>2022-04-05 09:16:04=>17=>为什么剩下的大多是正能量的评论………早晨我发的质疑的评论居然被官方删除了
半瓶苏打绿水=>2022-04-05 07:42:16=>12=>相信官方通报！校园暴力零容忍，还孩子一个安全的校园！
古怪的念你20999=>2022-04-05 09:11:25=>14=>来，解释一下受害者家属为什么会被打倒，视频中看胳膊都被打坏了。还有，受害者父亲说心脏，肺部，胃部都有出血。怎么你这里没有？
吖呆吖呆-=>2022-04-05 08:18:31=>14=>完整尸检报告和监控视频不发？<span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span>
ZUONANNAN=>2022-04-05 10:04:36=>8=>怎么说呢，网友是没有分辨真假的能力的。不信谣，不传谣肯定是对的，但是我们无法判断哪些是谣言，哪些是事实，这其实就需要有足够公信力的官方能够及时同步的公布调查结果，例如像这样的公告。不是一定要相信谣言，而是怕如果是真的，那就真的会有一个孩子含冤而死了。
视品菌=>2022-04-05 09:35:22=>8=>这个公告明显就是不存在校园霸凌事件    霸凌的人被反杀了    哈哈哈
兜兜里没有糖_W=>2022-04-05 07:33:53=>7=>严惩凶手，还受害者一个公道
Tom0riNao=>2022-04-05 07:51:15=>7=>借卫生纸人家不借就直接去翻，这不就是死的这个先挑事么？
