咖啡小鱼茶=>2022-04-23 20:56:12=>57=>刘洋，中国第一位女航天员
芯辰小芬=>2022-04-23 21:30:33=>4=>致敬中国航天
ID喝奶茶的小糖糕=>2022-04-23 21:05:45=>5=>中国航天，我们的征途是星辰大海
一亚yyy=>2022-04-23 21:01:22=>8=>bida你道歉了吗？<span class="url-icon"><img alt=[怒骂] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_numa-462905d4fc.png" style="width:1em; height:1em;" /></span>
人间有味是清欢cycy=>2022-04-23 21:20:59=>3=>“可上九天揽月，可下五洋捉鳖”，当年的浪漫想象如今已变为美好现实。但浩瀚长空，中国人探索的脚步从未停止。在逐梦苍穹的新征程上，中国必将再创辉煌，“谈笑凯歌还”！<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
祁大祁=>2022-04-23 20:58:23=>3=>致敬
潘敏Vicky=>2022-04-23 20:56:01=>4=>致敬中国航天！
淡墨-轻染流年=>2022-04-24 05:50:42=>3=>致敬中国航天<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
重拾_狗狗祟祟的快乐=>2022-04-23 23:34:18=>1=>致敬中国航天
初-夏特列=>2022-04-23 21:18:03=>5=>小小寰球，有几个苍蝇碰壁。嗡嗡叫，几声凄厉，几声抽泣。蚂蚁缘槐夸大国，蚍蜉撼树谈何易。正西风落叶下长安，飞鸣镝。多少事，从来急。天地转，光阴迫。一万年太久，只争朝夕。四海翻腾云水怒，五洲震荡风雷激，要扫除一切害人虫，全无敌！
歪打正着-K=>2022-04-23 21:07:19=>7=>这个评论区已经不能看了  整顿势在必行
Moriish=>2022-04-23 20:58:35=>1=>致敬中国航天！
珍惜我啊=>2022-04-23 20:55:18=>3=>致敬每一位中国航天人🇨🇳
T喜欢草莓味的星星=>2022-04-24 08:44:19=>1=>中国航空事业的迅猛发展离不开每一位航空人士的努力，向他们致敬
水穷云起时xz=>2022-04-24 06:28:11=>1=>致敬中国航天！！
Komorebi317=>2022-04-24 03:46:22=>1=>向每一位航天宇航员，致敬！！
呼安_晚安=>2022-04-23 21:04:48=>2=>致敬航天员
海星之河=>2022-04-23 21:03:07=>1=>我们的目标是星辰大海，下一个目标就是战神之星火星Mars
归雁时=>2022-04-25 01:38:08=>0=>致敬中国航天<span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
安然anning=>2022-04-24 09:24:19=>0=>转发微博
星月藍天1003=>2022-04-24 08:47:11=>0=>致敬
4029舒心=>2022-04-24 06:45:42=>0=>致敬中国航天人<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
唯Love晨熙=>2022-04-24 06:01:36=>0=><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span>
福建师范大学团委=>2022-04-23 22:04:52=>0=><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%9D%92%E5%B9%B4%E4%B9%8B%E5%A3%B0%C2%B7%E7%A6%8F%E5%BB%BA%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6%23&isnewpage=1" data-hide=""><span class="surl-text">#青年之声·福建师范大学#</span></a> 星空浩瀚无比，探索永无止境！让我们一起向中国航天人致敬<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
livefr1=>2022-04-23 21:34:23=>0=><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
咕噜咕噜多er=>2022-04-23 21:17:22=>0=>致敬！
