小华一米六=>2022-06-04 18:36:54=>53=>可能是开发出儿童款枪支了
飞翔的虎兔=>2022-06-04 18:31:22=>30=>“美国队长”怒斥枪杀小孩，美国人民泪流满面的向政府呼吁禁抢，拜登痛彻心扉的向社会呼吁该行动了，明星们怒斥参议员！议员们向选民们大声呼吁。你们在这儿玩击鼓传花呢？丟手绢呢？玩呢？！ 种族歧视、枪支暴力、毒品泛滥，是美国社会的三大顽疾，不治之症。美国人民，自求多福吧<span class="url-icon"><img alt=[摊手] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-fa05d4eacf.png" style="width:1em; height:1em;" /></span>
娜娜真棒呀=>2022-06-04 18:35:28=>12=>自由美利坚 枪击每一天
重拾_狗狗祟祟的快乐=>2022-06-04 18:35:30=>3=>害人终害己
老巴菜=>2022-06-04 18:44:11=>3=>枪械只是美国军工复合体的很小一角，也就导致美国国内互杀，顶天了每年几万人，对世界影响不大，让他们自己折腾吧。而美国军工复合体真正的危害是在整个世界输出战争，那个杀人效率高多了。
_____杠杠=>2022-06-04 19:52:15=>0=>_____人心惶惶_____朋友都觉得不买一把防身_____万一真有事发生_____自保能力都没有
陆锡鑫=>2022-06-04 19:32:16=>0=>【<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E5%9B%BD%E6%9E%AA%E6%94%AF%E5%88%B6%E9%80%A0%E5%95%86%E8%82%A1%E4%BB%B7%E9%80%86%E5%8A%BF%E4%B8%8A%E6%B6%A8%23&extparam=%23%E7%BE%8E%E5%9B%BD%E6%9E%AA%E6%94%AF%E5%88%B6%E9%80%A0%E5%95%86%E8%82%A1%E4%BB%B7%E9%80%86%E5%8A%BF%E4%B8%8A%E6%B6%A8%23" data-hide=""><span class="surl-text">#美国枪支制造商股价逆势上涨#</span></a> 】====说“逆势上涨”不符合逻辑，应该是“顺势上扬”。因为按照美国资本正常思维方式，多起枪击案发生后，肯定会有控枪呼声，但结果是不仅不控枪，反而大家为了自保继续买枪。<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%BA%BA%E4%BA%BA%E6%8C%81%E6%9E%AA%E4%BB%96%E6%89%8D%E4%B8%8D%E4%B9%B1%23&extparam=%23%E4%BA%BA%E4%BA%BA%E6%8C%81%E6%9E%AA%E4%BB%96%E6%89%8D%E4%B8%8D%E4%B9%B1%23" data-hide=""><span class="surl-text">#人人持枪他才不乱#</span></a>
种花家的微表情=>2022-06-04 19:09:56=>0=>真的特别自由呢
速効定心丸=>2022-06-04 19:06:47=>0=>害人害己
小蔡文林=>2022-06-04 18:57:38=>0=>美国枪械厂：多谢袁腾飞给打的广告<span class="url-icon"><img alt=[摊手] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-fa05d4eacf.png" style="width:1em; height:1em;" /></span>
瑛舞蝶落=>2022-06-04 18:51:48=>0=>转发微博
俊哥有话=>2022-06-04 18:48:59=>0=>几多欢喜几多忧愁<span class="url-icon"><img alt=[摊手] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-fa05d4eacf.png" style="width:1em; height:1em;" /></span>
三春檀翊=>2022-06-04 18:40:30=>0=>所以说我永远爱中国！
射手春雪未销=>2022-06-04 21:11:12=>1=>这还用散播阴谋论，在一个别人有枪，你没枪的环境里，看你买不买枪
-FallingDown-=>2022-06-05 17:49:35=>0=>还是资本家会玩
