那啥救星自信赋予者=>2022-08-10 10:49:05=>147=>不抓去监狱还在指定居所？
Axellson=>2022-08-10 11:06:29=>89=>监视居住更有利于公安机关进行侦查，防止嫌疑人串供，实施潜逃，毁灭伪造证据，干扰证人作证等，而且时限比拘传更长，拘传一次不得超过12小时，特殊情况不超过24小时。而且看这个情况估计是相关证据还在掌握之中所以还没有羁押，而公安机关又不能连续拘传，这个涉国犯罪不能取保候审，所以改监视居住
陽光照耀海平面=>2022-08-10 10:58:29=>67=>应该是招了<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
你管不着呀=>2022-08-10 10:50:25=>32=>没什么好说的，叛国罪，该怎么处理，我也不多说了<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
别说了爱我吧=>2022-08-10 10:54:26=>18=>多半是因为配合我们的情报工作而换取好一点的居住条件嘛，挺好的嘛
李李远远远啊=>2022-08-10 10:49:01=>12=>把其他人也供出来
Gracehj69=>2022-08-10 10:49:25=>13=>便宜这货了
网瘾中年小明=>2022-08-10 10:48:59=>4=>指定居所监视=居家观察吗？<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
人间有味是清欢cycy=>2022-08-10 14:48:43=>3=>分裂国家，鼓噪台独，深挖细究，严惩不贷！
一切从简1122=>2022-08-10 11:08:28=>5=>估计全招了<span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span>
热衷甜妹=>2022-08-10 12:24:41=>1=>必须严惩
