笙箫-别闹=>2022-11-28 15:58:01=>1277=>行为反映心理。还是想死灰复燃的
猛吃香瓜=>2022-11-28 16:08:33=>1294=>日本球迷表示：我们再表演一次捡垃圾行不行
三国游民=>2022-11-28 15:58:48=>805=>其心可诛
无須終有噫=>2022-11-28 15:56:58=>380=>丢人现眼<span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span>
w夏未央L=>2022-11-28 16:02:48=>233=>本性难移<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
圆圆的奥尔特云=>2022-11-28 15:58:35=>277=>把生活垃圾收了，把精神垃圾四处散播。这就是我们常说的重小节而失大义吧
cruzin=>2022-11-28 16:02:19=>322=>爱环保的帝国主义国家一枚啊🤗
时光叽=>2022-11-28 16:04:44=>191=>这就是看完球捡起的垃圾啊！<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[喵喵] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_miao-c1b3d563bd.png" style="width:1em; height:1em;" /></span>
子于归=>2022-11-28 15:59:20=>175=>祝小日子早日亡国
嗯珉卡都好储的亲爹=>2022-11-28 16:07:53=>43=>丢脸都丢到国际上了畜牲一样的东西纳粹国家日本国驻华大使馆
反正路人甲=>2022-11-28 15:58:36=>47=>美国可以搞伊朗不被惩罚，因为世界是双标的。日本淘汰我说的<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
原子传说=>2022-11-28 15:57:15=>37=>祝美国早日解体<span class="url-icon"><img alt=[喜] src="https://h5.sinaimg.cn/m/emoticon/icon/others/f_xi-3259e5a17a.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[喜] src="https://h5.sinaimg.cn/m/emoticon/icon/others/f_xi-3259e5a17a.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[喜] src="https://h5.sinaimg.cn/m/emoticon/icon/others/f_xi-3259e5a17a.png" style="width:1em; height:1em;" /></span>
我也每天都早睡=>2022-11-28 16:00:11=>57=>到底还有什么事也引发众怒？我不说<span class="url-icon"><img alt=[可爱] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png" style="width:1em; height:1em;" /></span>
小乔与我龙腾四海=>2022-11-28 16:48:59=>37=>捡垃圾和旭日旗，不冲突，知小礼和缺大德，不冲突
水瓶里的骑士=>2022-11-28 16:04:15=>18=>警惕小日本军国主义。
犀哩犀哩=>2022-11-28 16:02:04=>24=>看，都说了法西斯了
我是一枚文科生=>2022-11-28 16:36:17=>22=>小日本连装都不装了，军国主义必须死！
花嘟嘟的嘟嘟唇=>2022-11-28 16:10:57=>14=>一看这个旗，就想看他们切腹，必须搭配起来才好看。
树欲静而风止_=>2022-11-28 15:58:04=>14=>笑死，我还蛮想看日本民众撺掇岸田对着任意国家轰一炮的。这样我就能在有生之年看到日本岛沉没太平洋了。<span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span>
大汉雄风V=>2022-11-28 20:28:05=>9=>倭贼本性难改，唯有东风快递能修理好这帮小日子。
零壹壹零可不可=>2022-11-28 16:14:36=>4=>本性难移
我的名字叫保卫海疆=>2022-11-28 16:03:33=>9=>日本人也有理由不满啊，你们都在乌克兰支持纳粹，为啥我们举个旗都不行，都是法西斯，待遇咋还不一样呢
龏奭嚻艸=>2022-11-28 19:05:55=>4=>军国主义野心越来越膨胀了
老勍=>2022-11-28 20:46:54=>2=>小日本<span class="url-icon"><img alt=[弱] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_ruo-d444cceb19.png" style="width:1em; height:1em;" /></span>
吾爱吾锡=>2022-11-28 17:41:37=>3=>本子又欠炸了<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
二马人义=>2022-11-28 17:40:10=>2=>你们的《亚洲之光》<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
江湖在身=>2022-11-28 17:29:12=>3=>这不让宣传人家赛后主动捡垃圾的新闻作废了呀<span class="url-icon"><img alt=[笑cry] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png" style="width:1em; height:1em;" /></span>
ChanKaiser=>2022-11-29 03:06:11=>1=>还是对那场战争的结局有点不服(;｀O´)o
隔壁小短腿儿=>2022-11-28 17:20:15=>2=>再捡100年垃圾也拉不回这波操作
多点维他命=>2022-11-28 16:35:38=>2=>先管好自己
冰上飞驰的M=>2022-11-28 18:41:07=>3=>下次咱们把军旗带上，再印一个超大版的日本投降书展示一下<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
ai摸鱼=>2022-11-30 09:45:36=>1=>所以很多人都说了转播切画面是因为很多这个<span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span>结果一群人被带还真信了因为口罩，转播那么多比赛也没这样，刚开始几天也没这样，很明显不是因为口罩啊！！！一群大聪明以为自己发现了什么了不得的大事<span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span>
闲人懒逛=>2022-11-29 02:25:57=>2=>核弹扔少了，啥时候咱给它补齐<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
成仙的土豆精=>2022-11-28 19:52:28=>1=>好久没看见这旗了
稳_中_向_好=>2022-11-28 18:41:38=>1=>每到这个时候总有这些新闻出来分流
冰上飞驰的M=>2022-11-28 18:40:07=>1=>战败国有什么话语权？
Voldemolt=>2022-11-28 18:38:05=>1=>所以央视就一刀切把所有观众席镜头都切掉了？
The-summer-friend=>2022-11-28 18:05:02=>1=>中国对日本应该优先使用核武器，以雷霆万钧之势，对其进行先手毁灭性打击。
贼难的CAD难受=>2022-11-28 17:43:50=>1=>这就是小日本<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>永远不值得称赞
马铃薯土豆不削皮=>2022-11-28 17:09:31=>2=>我不信，这肯定是日本人捡垃圾捡到的<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
乌鸦乌鸦叫869=>2022-11-28 16:36:49=>1=>旭日旗其实就是日本的军旗，现在日本的军舰和潜艇还是挂这个。在体育赛事上挂军旗确实脑残，比如说林丹是解放军的，他拿了金牌奏国歌时敬军礼没毛病，但身上披的是国旗而不会是八一军旗
阿星fugaz=>2022-11-28 16:06:56=>1=>死灰复燃<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
Lunardi=>2022-11-30 20:01:23=>0=>我们可不能看到啊，容易被蛊惑，直播就别拍观众席了，建议这条新闻也删了
我爱可怕派=>2022-11-30 18:25:17=>0=>不是夸小日子在赛场上捡垃圾呢吗<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
美狗日杂黄鹅的野爹=>2022-11-29 22:11:16=>0=>日本国驻华大使馆
美狗日杂黄鹅的野爹=>2022-11-29 22:10:52=>0=>警惕日本军国主义复活
冰美式血脉_1G=>2022-11-29 14:22:41=>0=>贼心不死
潘先生丶演奏=>2022-11-29 07:26:36=>0=>咋的，想迎娶我们的邱女士是嘛<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
大大大魔王666200611=>2022-11-28 19:17:11=>0=>我就说出门在外喜欢装样子的民众内心多少是变态扭曲的
沐子李啊灬=>2022-11-28 19:14:33=>0=>？
十年一觉eat=>2022-11-28 18:48:29=>0=>？？？
琉璃无殇也无双=>2022-11-28 18:44:30=>0=><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
黄俊捷的腹肌=>2022-11-28 18:26:24=>0=>这才是真的贼心不死
微波甜饭=>2022-11-28 17:50:13=>0=><span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
琴棋书画-1220=>2022-11-28 17:25:09=>0=>尴尬
