青春江西=>2023-07-07 00:00:50=>67=>不能忘，不敢忘，不会忘！
重庆共青团=>2023-07-07 00:01:06=>45=>铭记历史，吾辈自强！
吉林共青团=>2023-07-07 00:20:06=>34=>居安思危，振兴中华！
安徽团省委=>2023-07-07 01:05:38=>30=>勿忘国耻，居安思危，振兴中华！
Reend80s=>2023-07-07 00:00:48=>19=>铭记历史，永怀先烈！铭记历史，珍爱和平，缅怀先烈！
草莓蛋糕酷到飞起来转圈圈=>2023-07-07 00:01:50=>11=>铭记历史，吾辈自强！
零零LingYue=>2023-07-07 00:36:59=>5=>铭记历史，勿忘国耻，缅怀先烈，吾辈自强！<span class="url-icon"><img alt=[拳头] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-81f684d5ed.png" style="width:1em; height:1em;" /></span>
美狗S远点=>2023-07-07 01:32:54=>6=>勿忘国耻！居安思危！爱我中华！🇨🇳
SEPTEMBER21K=>2023-07-07 00:27:08=>5=>铭记历史 吾辈自强
中央气象台=>2023-07-07 07:44:31=>0=>居安思危，振兴中华！
微博政务=>2023-07-07 00:32:45=>0=>铭记历史，振兴中华！<span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%83%E4%B8%83%E4%BA%8B%E5%8F%98%E5%8B%BF%E5%BF%98%E5%9B%BD%E8%80%BB%23" data-hide=""><span class="surl-text">#七七事变勿忘国耻#</span></a><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B1%B1%E6%B2%B3%E6%97%A0%E6%81%99%E5%90%BE%E8%BE%88%E8%87%AA%E5%BC%BA%23&extparam=%23%E5%B1%B1%E6%B2%B3%E6%97%A0%E6%81%99%E5%90%BE%E8%BE%88%E8%87%AA%E5%BC%BA%23" data-hide=""><span class="surl-text">#山河无恙吾辈自强#</span></a>
点子正=>2023-07-07 00:12:53=>1=><span class="url-icon"><img alt=[话筒] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png" style="width:1em; height:1em;" /></span>
北京大兴消防=>2023-07-07 00:03:47=>5=>致敬先烈，致敬胜利，壮志满怀，奋发有为
缨夏屿风=>2023-07-07 01:16:15=>3=>铭记历史！缅怀先烈！
SereinRedamancy=>2023-07-07 00:56:23=>2=>居安思危，振兴中华！
养什么哆=>2023-07-07 00:27:18=>3=>铭记历史！
zhiying猪=>2023-07-07 00:25:04=>4=>居安思危！振兴中华！铭记历史！吾辈自强！
浪味小宇宙_ing=>2023-07-07 00:21:49=>3=>铭记历史，勿忘国耻，吾辈自强。
漫时光_lily=>2023-07-07 21:31:19=>1=>铭记历史，吾辈当自强！
易路繁花相送=>2023-07-07 19:27:33=>1=>勿忘国耻！吾辈自强！
烊烊爱吃坚果-2024暴富版=>2023-07-07 12:57:05=>1=>铭记历史勿忘国耻
酸梅coca=>2023-07-07 11:40:10=>1=>铭记历史，吾辈自强
素墨逐风=>2023-07-07 10:48:00=>1=>居安思危，勿忘国耻
满格信号不爱我=>2023-07-07 10:04:39=>1=>勿忘历史 吾辈自强！
呀哈呼嘿love檀多=>2023-07-07 09:33:30=>1=>勿忘国耻！铭记历史！吾辈当自立自强<span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span>
咖啡悠悠球=>2023-07-07 09:19:21=>1=>铭记历史
是二只狐耶=>2023-07-07 09:02:11=>1=>居安思危 振兴中华
猫和你都想了解-K=>2023-07-07 08:41:44=>1=>铭记历史，勿忘国耻。
一撮碎星=>2023-07-07 08:10:52=>1=>铭记历史，吾辈自强
刘学义的柠檬精=>2023-07-07 08:02:14=>1=>勿忘国耻，居安思危
多多牌螺蛳粉火锅=>2023-07-07 07:53:03=>1=>铭记历史，缅怀先烈！
啵丝猫有脾气=>2023-07-07 07:29:23=>1=>勿忘历史，缅怀先烈，振兴中华，吾辈自强！💪
彭-庄影=>2023-07-07 07:26:39=>1=>铭记历史，吾辈自强！！
辣子鸡-新花怒放版=>2023-07-07 07:21:59=>1=>铭记历史，吾辈自强！
原来是笑笑y=>2023-07-07 07:21:26=>1=>铭记历史 吾辈自强<span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span>
银子堆成山=>2023-07-07 07:00:08=>1=>勿忘国耻，吾辈当自强！
Paved=>2023-07-07 06:49:45=>1=>居安思危，振兴中华
Firefly-时光=>2023-07-07 06:47:32=>1=>勿忘国耻 铭记历史
烊烊爱吃坚果-2024暴富版=>2023-07-07 06:43:09=>1=>铭记历史，吾辈自强
不许凶小丞o=>2023-07-07 06:10:18=>1=>铭记历史 永怀先烈
语默若遥=>2023-07-07 06:07:14=>1=><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%83%E4%B8%83%E4%BA%8B%E5%8F%98%E5%8B%BF%E5%BF%98%E5%9B%BD%E8%80%BB%23" data-hide=""><span class="surl-text">#七七事变勿忘国耻#</span></a>，居安思危，振兴中华！<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B1%B1%E6%B2%B3%E6%97%A0%E6%81%99%E5%90%BE%E8%BE%88%E8%87%AA%E5%BC%BA%23&extparam=%23%E5%B1%B1%E6%B2%B3%E6%97%A0%E6%81%99%E5%90%BE%E8%BE%88%E8%87%AA%E5%BC%BA%23" data-hide=""><span class="surl-text">#山河无恙吾辈自强#</span></a> <span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span>
人间有味是清欢cycy=>2023-07-07 06:02:47=>1=>居安思危，振兴中华，山河无恙，吾辈自强！<span class="url-icon"><img alt=[拳头] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-81f684d5ed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[拳头] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-81f684d5ed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[拳头] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_quantou-81f684d5ed.png" style="width:1em; height:1em;" /></span>
烊烊爱吃坚果-2024暴富版=>2023-07-07 05:36:49=>1=>铭记历史，吾辈自强
泡泡贝壳椰=>2023-07-07 03:11:07=>1=>警钟长鸣，勿忘历史，吾辈自强<span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
卿卿青岚=>2023-07-07 03:10:24=>1=>悼念同胞，缅怀先烈，铭记历史，吾辈自强！
洒脱自然=>2023-07-07 01:50:00=>1=>居安思危，振兴中华！
离殇恋夏=>2023-07-07 01:30:20=>1=>昭昭前事，惕惕后人，警钟长鸣，吾辈自强！
Asgeousasawildfire=>2023-07-07 01:20:11=>1=>铭记历史，吾辈自强！
酱香不香饼_玉桂狗版=>2023-07-07 01:05:44=>1=>铭记历史，缅怀先烈，勿忘国耻
白兎吻=>2023-07-07 01:03:00=>1=>铭记历史！缅怀先烈！牢记使命！
月亮真源zzy=>2023-07-07 01:02:56=>1=>勿忘历史<span class="url-icon"><img alt=[抱一抱] src="https://h5.sinaimg.cn/m/emoticon/icon/default/co_a1hug-f3910d0e88.png" style="width:1em; height:1em;" /></span>
