摘星不养花=>2023-07-10 17:05:59=>120=>老美已疯
中粤河=>2023-07-10 17:06:11=>83=>沙利文：反正死的是乌克兰人即使死的再多也无所谓了
星空下的阿狄丽娜=>2023-07-10 19:03:45=>67=>当年美国国务卿奥尔布赖特是怎么说的 :“即使造成南斯拉夫几十万人死亡，发动战争也是值得的”
小林想发财想早日退休=>2023-07-10 17:06:44=>30=>人在做天在看【 <a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%A9%BB%E6%97%A5%E7%BE%8E%E5%86%9B%E4%B8%89%E6%9E%B6%E5%86%9B%E6%9C%BA%E5%90%8C%E4%B8%80%E5%A4%A9%E8%A2%AB%E9%9B%B7%E5%8A%88%23&extparam=%23%E9%A9%BB%E6%97%A5%E7%BE%8E%E5%86%9B%E4%B8%89%E6%9E%B6%E5%86%9B%E6%9C%BA%E5%90%8C%E4%B8%80%E5%A4%A9%E8%A2%AB%E9%9B%B7%E5%8A%88%23" data-hide=""><span class="surl-text">#驻日美军三架军机同一天被雷劈#</span></a>】
美狗S远点=>2023-07-10 19:20:21=>43=>所以，美国是世界动乱之源！
黑T吷=>2023-07-10 17:15:28=>24=>乌克兰应该马上向俄罗斯投降！
尤里加加瑰=>2023-07-10 17:46:29=>19=>人在做，天在看<span class="url-icon"><img alt=[哆啦A梦害怕] src="https://h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_03haipa-32e9b53caf.png" style="width:1em; height:1em;" /></span>
春水禾櫞=>2023-07-10 17:18:02=>20=>美国白宫有多双标伪善?平民的命也是命。
雪精灵回来了吖=>2023-07-10 17:08:11=>17=>心里话也挺敢说的<span class="url-icon"><img alt=[笑cry] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png" style="width:1em; height:1em;" /></span>
zhuangyan1988=>2023-07-10 17:34:08=>8=>俄罗斯一直在乌克兰的领土上使用白磷弹和温压弹，而且俄罗斯也不是禁止集束炸弹的签约国，怎么没人说违反人道主义？
昼颖诗提_=>2023-07-10 17:13:06=>2=>做个人吧老美
大大不会哭=>2023-07-10 19:03:47=>4=>常规武器打完了，是不是上核弹呢?
羊羽子书=>2023-07-10 18:56:35=>2=>好了，这下遮羞布也不要了<span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span>
可爱小朋友与足球=>2023-07-10 23:57:51=>1=>太6了
人类低质量男性I=>2023-07-10 17:07:12=>1=>老逼登: 我要杀掉20万乌克兰人和一个修自行车的<span class="url-icon"><img alt=[舔屏] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tian-3b1ce0a112.png" style="width:1em; height:1em;" /></span>
Holdoumen_暖暖=>2023-07-10 20:02:19=>2=>这就是标榜着“人道主义”的伪君子
千千千千零=>2023-07-10 19:34:38=>3=>战斗至最后一个乌克兰人<span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span>
-SellioCttO=>2023-07-11 15:29:31=>0=>最后一个乌克兰人，美国都说的这么明白了
枪盾炸裂=>2023-07-11 12:09:38=>0=>死的都是斯拉夫人，他其实想说两边都死完最好。
屿默=>2023-07-11 08:49:28=>0=>《人权》
DooiiZiove=>2023-07-11 08:09:34=>1=>能说出这句话是真疯了吧…
九尾的大尾巴=>2023-07-11 03:17:00=>0=><span class="url-icon"><img alt=[笑而不语] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-5170f2f55c.png" style="width:1em; height:1em;" /></span>团团，美利坚家的宠物狗在你评论区破防了，你说事实，它还不乐意听，高华们，我就是说<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
超a芝士茄茄=>2023-07-10 20:49:14=>1=>漂亮国真下头
幽幽游游又又=>2023-07-10 19:58:59=>1=>此条仅献给美利坚人民<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
一尺月_=>2023-07-10 19:39:22=>0=><span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span>
来自远方的流浪猫=>2023-07-10 19:36:52=>0=>天哪。。
LYEo_O530琪=>2023-07-10 18:05:56=>0=>疯了吧…….
De_紫醉金迷=>2023-07-10 17:37:31=>0=>人言否？<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
猕猴桃味的侯宝=>2023-07-10 17:19:52=>0=>有毛病吧
87号小冉=>2023-07-10 17:14:07=>0=>😓
潘敏Vicky=>2023-07-10 17:05:03=>0=>……
高雄云1985=>2023-07-10 19:56:34=>2=>反正死的不是美国人，他们不会顾及
尝试迈开脚步的-winkaJane=>2023-07-11 06:32:19=>1=>只有殖子在吹的人权大国<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
