用户名	有用数	好评	时间	评论				
桃也	930	5星	 2021-02-14 18:11:25	 华夏为何为一体？。自古就是一体。				
陈美芳˙?˙	915	5星	 2021-02-13 22:12:29	 传千年之经义，燃万古之明灯。让后世读典籍而知先贤治政之本，知朝代兴废之由，知个人修身之要。				
?? ˙О˙??	717	5星	 2021-02-12 21:33:54	 我的天，这舞台剧的魅力。与古人相见，告诉他未来皆好，光这样就很动容。身为青年，心里有愧。				
kid-HJ	587	5星	 2021-03-14 23:55:43	 吹毛求疵，用来形容那些打一星的和谩骂节目组的，简直再合适不过！那些说节目组心里有辫子的，你们心里那条辫子，那条自卑的辫子比谁都粗！				
『咸蛋超蕾』	345	5星	 2021-02-12 21:20:38	 CCTV1看到的【尚书?禹贡】，倪大红老师演的伏生戏太好了！				
超人会飞	155	5星	 2021-02-15 23:56:56	 第一集就落泪，古今交谈，并不突兀。回到过去告诉他们一切都好如伏生所愿，另显感动。九州之大，华夏之始，弦歌不辍，铭记古今。我岂能不以命护书？生为当代青年，我岂敢不认真读书？依旧肤浅，惭愧。				
宇文宙	173	5星	 2021-02-14 19:19:10	 从国家宝藏开始，央视找到了文创宣传的全新模式，如果语文课历史课也采用这种生动形象的教学方式或者直接引用这些节目片段作为教材，相信学生们的学习积极性肯定也会更高吧。				
Mason	57	5星	 2021-02-13 13:13:26	 这节目可真好！第一集「尚书」讲的扶生传「书」的故事看得我泪流满面。舞台棒，演员好，希望以后多一些这样的文化类综艺节目。				
缪斯十三少	47	5星	 2021-02-12 21:35:45	 今晚看了一集，倪大红老师的演技，每一个细节都让人动容，忍不住泪流满面。				
望舒	73	5星	 2021-03-08 00:20:43	 这真的是非常好的综艺！不理解有些人为什么觉得一个多小时能把尚书讲解清楚？？？这只是让我们现代人明白经史子集的重要性，不是学习频道！拿百家讲坛要求是不是有点可笑？这是综艺好不好？中国有五千年的历史文明，难道我们不应该铭记历史，知来路吗？没有先人的传承会有今天的文明吗？请一些打故意打底分的喷子们别彰显自己的特殊了好吗！不想看可以不要看啊，但是最起码有点责任别误导他人号码？				
#瞬间收藏家#	16	5星	 2021-06-13 21:04:38	 《论语》：表演部分真好。高昌国小学生的不想上学错别字打油诗笑死。四个嘉宾太尬了。小撒有文化又清爽不油腻，赞一个。《尚书》：几千年前治洪水、伐无道、护书传书，现在钻女厕所、4分进面试、男教授应该多妻制：真阳刚??? | 总体来看也就比隔壁各种背题大会好了一万来倍吧。最后……好多腰板直直古装端正的帅叔叔帅爷爷? 另外希望后面的题材能看到更多女性角色，现在真的太少太少了				
沐春风	33	5星	 2021-02-12 21:00:04	 正月初一，尽在不言				
龙标姑息者	4	5星	 2022-12-10 12:57:29	 作为典籍的解读栏目，深度和解读角度有待商榷。但作为戏剧，真是当代之光，在戏剧艺术这样没落的年代，分分秒秒的表演都非常吸引人。				
Alfred????	83	5星	 2021-02-13 21:40:29	 太棒了，第一集就被征服了，倪大红，连眼袋都在演戏的超级演员。 。王学圻更厉害，史记司马迁真的太励志了，让人有力量！				
小天狼星	5	5星	 2023-03-14 17:38:25	 惟殷先人 有册有典 拍这种还是得央视 制作精良 气势磅礴 戏骨云集… 对往圣典籍有了多一些认识 戏剧效果就是告诉你 给我哭！				
乔帮主	25	5星	 2021-02-14 17:45:51	 啊啊啊啊啊！最近超迷撒贝宁，偏偏我最喜欢的主持去主持我最喜欢的节目类型，这是天意吗？				
尹四七	30	5星	 2021-02-13 17:46:54	 所謂對其本國已往歷史略有所知者，尤必附隨一種對其本國已往歷史之溫情與敬意。否則只算知道了一些外國史，不得雲對本國史有知識。。——钱穆。。为什么我的眼中常含泪水，因为我对这片土地爱的深沉。。———艾青				
欣然默默不说话	30	5星	 2021-02-14 19:15:11	 九州的荏苒，岁月的悲欢，时光就在典籍中，串联着过去与未来。				
pepper 安	3	5星	 2022-04-09 19:23:39	 徐霞客，朝碧海而暮苍梧，古人的一个梦想被现代科技实现。我住长江头，君住长江尾。日日思君不见君，共饮长江水。 此水几时休，此恨何时已。只愿君心似我心，定不负相思意。				
